Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Rook,Corvus frugilegus,asia,Brown,,"Cache 1 [wild] from your supply on this bird or tuck 1 [card] from your hand behind this bird. If you do either, tuck 1 [card] from the deck behind this bird.",,X,,1,Platform,3,90,,X,,,,,,,,1,,,1,,,,,X,,X,,,,,,,,X,,X,,X,X,,,,,,,,X,,,423,,,,,,,,,,,,,,,,,,,,,,
Rose-Breasted Grosbeak,Pheucticus ludovicianus,originalcore,Brown,Food from Birdfeeder,"Gain 1 [seed] or [fruit] from the birdfeeder, if there is one.",,,,6,Bowl,3,33,X,,,1,1,,1,,,,,,3,X,,,X,,,,X,X,,,,,X,,,,,,,,X,,X,,,,X,,,209,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543,,,,,,,,,,,,,,,,
Rose-Ringed Parakeet,Psittacula krameri,asia,White,,"Copy a ""When Played"" (white) ability on 1 of your neighbors' birds.",,,,2,Cavity,2,45,X,X,,1,1,,,,,,X,,1,,,,X,X,X,,X,,,,,,,,X,,,,,,,,,,X,,X,,"The copied power must be a white “when played” power. <br>This bird may copy a white “when played” power that lets you play an additional bird, even in a habitat other than the one in which this bird is played. The additional bird must be played in a habitat specified by the copied power, if there is one. <br>Since this bird cannot be played in the [wetland], it cannot copy a white power that specifies playing it in the that habitat (e.g., the Grey Heron, from the European Expansion). <br>If you use this bird to copy the white “when played” power of a bird with an alternative food cost, you may pay that alternative food cost to play this bird as applicable. (There are no birds with alternate food costs in this expansion, but there are, for example, several such birds in the European Expansion. Alternate food costs are specified with an asterisk [*] next to the food cost.)",424,,,,,,,,,,,,,,,,,,,,,,
Roseate Spoonbill,Platalea ajaja,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,6,Platform,2,127,,,X,1,1,1,,,,,,,3,X,,,X,,,,X,X,,,X,,,X,,,,X,,,,X,,,X,X,,X,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",210,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Rosy Starling,Pastor roseus,asia,Brown,,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], gain 1 [invertebrate] from the supply.",,X,,4,Cavity,3,35,X,X,X,1,1,,1,,,,,,3,,,,X,,X,X,X,X,,,,,,,X,,,,,,X,,,,,,X,,,425,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Royal Spoonbill,Platalea regia,oceania,Brown,Food-related,Draw 1 face-up [card] from the tray with a [platform] or [star] nest. You may reset or refill the tray before doing so.,,,,4,Platform,2,120,,,X,1,,1,,,,,,,2,X,,,,,,,,,,,X,,,X,,,,X,,,,X,,,X,,,X,"Before drawing a face-up card with the nest type shown, you may:<ul><li>reset the tray (discard all face-up cards and put out 3 new face-up cards), or</li><li>refill the tray (place new cards from the deck in any empty slots), or</li><li>leave the tray as-is.</li></ul>",335,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Ruby-Crowned Kinglet,Regulus calendula,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,2,Bowl,3,20,X,,,1,1,,1,,,,X,,1,X,,,X,X,,,X,,,,,,X,,,,X,,,,X,,X,,,,,X,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",211,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
Ruby-Throated Hummingbird,Archilochus colubris,originalcore,Brown,Food from Birdfeeder,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",,,,4,Bowl,2,10,X,X,X,,,,,,,1,,,1,X,,,X,,X,,,,,,,,,,,X,X,,,,,,X,X,X,,X,,"The hummingbird’s owner decides which person gains the first food, and then players gain food in turn order. Players may reset the birdfeeder if it is empty or if all dice are showing the same face.",212,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Ruddy Duck,Oxyura jamaicensis,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,0,Platform,5,48,,,X,1,1,,,,,,X,,1,,,,X,X,,,X,,,,,,,,,,,X,,,,X,,,,,,X,"This power adds cards to the wetland’s draw card(s) action, but it has a cost. The next player may start their turn while you are deciding which card(s) to discard.",213,"You may perform an action even if it precludes you from performing an action required at the end of your turn (e.g., discarding a [card] from your hand at the end of a turn in which you activated the <strong applink=""/card/31"">Black Tern</strong>'s power).",https://www.facebook.com/groups/wingspanboardgame/permalink/397335327636742/?comment_id=397350010968607,"If you perform more than one action <i>""at the end of your turn""</i>, you may perform those actions in any order.",https://www.facebook.com/groups/wingspanboardgame/permalink/414814145888860/?comment_id=415023839201224&reply_comment_id=415302489173359,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Ruddy Shelduck,Jadorna ferruginea,asia,Teal,,"Draw 5 [card] from the deck. Add 1 to your hand, tuck 1 behind this bird, and discard the rest.",,X,,3,Cavity,5,123,,,X,,2,,,,,1,,,3,,,,X,X,,X,X,X,,,,,,X,X,X,,,,,,X,,,,,,X,"If you choose to activate these birds at the end of the round, all parts of their activations are mandatory.",426,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Ruff,Calidris pugnax,european,Teal,Flocking,Tuck up to 3 [card] from your hand behind this bird. Draw 1 [card] for each card you tucked.,,X,,2,Ground,2,56,,X,X,1,,,,,,1,,,2,,,,,X,X,X,,,X,,,,,,,X,,,,,,,,,X,,X,,,214,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,,,,,,,,,,
Rufous Night-Heron,Nycticorax caledonicus,oceania,Brown,Hunting and fishing,"Look at a [card] from the deck. If it can live in [wetland], tuck it behind this bird. If not, discard it.",X,,,5,Platform,2,106,,,X,1,,1,,,,,,,2,,,,X,,,,,,,X,X,,,X,,,,X,,,,X,,,X,,,X,,336,,,,,,,,,,,,,,,,,,,,,,
Rufous Owl,Ninox rufa,oceania,Brown,Other,Draw 1 face-up [card] from the tray with a wingspan less than 75cm and tuck it behind this bird.,X,,,7,Cavity,2,115,X,,,,,,,3,,,,,3,,,,X,,,,,X,,X,,,X,X,X,,,,,X,,,,,X,,,,,337,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Rufous-Banded Honeyeater,Conopophila albogularis,oceania,Brown,Food-related,"Discard 1 [invertebrate]. If you do, gain 1 [nectar] from the supply.",,,,0,Bowl,4,22,X,,X,1,,,,,1,,X,,1,,,,X,X,X,,,,,,,X,,,,,X,,,,,,X,,,,X,,,338,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"As of the release of the Oceania Expansion, <i>honey</i> is no longer a keyword for the <strong applink=""/card/1023"">Photographer</strong> bonus card, but <i>rufous</i> is a keyword, and hence this bird qualifies for that bonus card.",Oceania Expansion rulebook,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Sacred Kingfisher,Todiramphus sanctus,oceania,Pink,Egg-laying,"When another player takes the ""gain food"" action, gain 1 [invertebrate], [fish], or [rodent] from the birdfeeder, if there is one, at the end of their turn.",X,,,0,Cavity,4,30,X,X,X,1,,1,,1,,,X,,1,,,,,X,X,,,,,X,X,,,,X,,X,,,X,,,,,,,,X,"Before gaining this food, you may reroll the dice in the birdfeeder if they are all showing one face.",339,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
Sandhill Crane,Antigone canadensis,originalcore,Brown,Flocking,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,,X,,5,Ground,1,196,,X,X,,2,,,,,1,,,3,,X,,,,X,X,X,X,X,,,,,X,,X,,,,,,,,,X,,X,,These powers allow you to discard a specific type of food to take 2 cards from the deck and tuck them behind the bird. You must have the food in your personal supply; you cannot take it from a bird card.,215,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,,,,,,,,,,,,,,,,,,
Sarus Crane,Antigone antigone,asia,Brown,,Each player may discard 1 [egg] to draw 1 [card] from the deck.,,,,7,Ground,2,250,,,X,,,,,,,3,,,3,,,,,,,,,X,X,,,,,X,,X,,,,,,X,,,X,,,X,,427,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Satyr Tragopan,Tragopan satyra,asia,Brown,,"Give 1 [card] from your hand to another player. If you do, lay 2 [egg] on this bird.",,,,5,Platform,2,26,X,,,,1,,1,,,,,,2,,,,,,,,X,,,,,,X,,,,X,X,,,X,,,,X,,X,,,428,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Savannah Sparrow,Passerculus sandwichensis,originalcore,White,Other,Play a second bird in your [grassland]. Pay its normal cost.,,,,2,Ground,3,18,,X,,1,1,,,,,,X,,1,,X,,,X,,,X,,X,,,,,,,,X,,X,,,,,,,,,X,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",216,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
Savi's Warbler,Locustella luscinioides,european,Brown,Card-drawing,Draw 2 [card]. All other players draw 1 [card] from the deck.,,,,1,Bowl,4,20,,,X,1,,,,,,,,,1,,,X,,X,,,,,,,,X,,,,,X,,,,,X,X,,,,,X,"You may choose to draw face-up cards or from the deck as normal, but each other player may only draw their card from the deck.",217,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Say's Phoebe,Sayornis saya,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [bowl] nest.,,,,5,Bowl,3,33,,X,,3,,,,,,,,,3,,,X,,,,,,X,,,,X,,,,,,,X,,,,X,,,,,X,"This power allows you to lay eggs on all of your birds that have a specific nest symbol (and all birds with a star nest symbol), including the newly played bird.",218,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Scaled Quail,Callipepla squamata,swiftstart,Brown,,Lay 1 [egg] on this bird.,,,,0,Ground,6,36,,X,,,1,,,,,,,,1,,,,,X,,,X,,X,,,,,,,,,,X,,,,,,,,,X,,219,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Scaly-Breasted Munia,Lanchura punctulata,asia,Brown,,Gain 1 [seed] from the supply or tuck 1 [card] from the deck behind this bird.,,X,,2,Wild,3,22,,X,X,,1,,1,,,,,,2,X,,,,X,X,X,X,,X,,,,,,X,,X,X,,,X,,X,,,,X,,,429,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Scissor-Tailed Flycatcher,Tyrannus forficatus,originalcore,Brown,Food from Supply,All players gain 1 [invertebrate] from the supply.,,,,8,Bowl,2,38,,X,,2,,,1,,,,,,3,X,,,,,,,,X,,,,,,,,,,,X,,X,,X,,X,,,X,,220,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Short-Toed Treecreeper,Certhia brachydactyla,european,Brown,Other,"Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",,,,2,Cavity,5,20,X,,,1,1,,,,,,,,2,X,,,,X,,,X,,,,,,X,,X,,X,,,,,,,,,,,,"If the additional bird has a “when played” power, it is triggered when the bird is played.",221,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Using this bird's power to play a bird in your [forest] triggers the power of the <strong applink=""/card/104"">Eastern Kingbird</strong> on another player's player mat, despite the <strong applink=""/card/104"">Eastern Kingbird</strong>'s entry in the Appendix.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,,,,,,,,,,,,,,,,
Silvereye,Zosterops lateralis,oceania,Brown,Food-related,All players gain 1 [nectar] from the supply.,,,,4,Bowl,4,17,X,X,X,1,,,,,1,,,,2,X,,,X,,X,,,,,,,X,,,,,X,,,,,,X,,,,X,,,340,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Small Minivet,Pericrocolus cinnamomeus,asia,White,,Play 1 additional bird in your [forest]. You may ignore 1 [invertebrate] or 1 [egg] in its cost.,,,,3,Bowl,2,28,X,,,1,,,,,,,,,1,,,,,X,,,,,,,,X,X,,,,X,,,,,,X,,X,,,X,You may ignore 1 [wild] requirement in the additional bird’s food cost in place of ignoring 1 [invertebrate] in it.,430,,,,,,,,,,,,,,,,,,,,,,
Smew,Mergellus albellus,asia,White,,Draw 4 [card]. Tuck 2 [card] behind this bird and add the other 2 [card] to your hand.,,X,,4,Cavity,4,62,X,,X,1,1,1,,,,,,,3,,,,,,X,X,X,X,,,X,,,,X,,,,,,,,,,,,,X,"When you use this bird’s power, tucking is part of the action’s cost and is mandatory.",431,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Snow Bunting,Plectrophenax nivalis,european,Pink,Tucking,"When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn.",,X,,5,Cavity,2,35,,X,X,1,1,,,,,,,,2,,,,,,X,X,X,,,,,,,,X,,,,,,,,,,X,,X,,,222,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,"This bird counts toward the <strong applink=""/card/1023"">Photographer</strong> bonus card.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-35706,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"When using this bird's power, draw the [card] from the bird tray before it is refilled.",https://www.boardgamegeek.com/thread/2336787/article/33673995#33673995,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,
Snowy Egret,Egretta thula,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,4,Platform,2,104,,,X,1,,1,,,,,X,,1,,,,X,,,,,,,X,X,,,X,,,,X,,,,X,,,X,,X,,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",223,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Snowy Owl,Bubo scandiacus,european,White,Other,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,,,X,4,Ground,3,138,,X,X,,,,,2,,,,,2,,,,X,,X,,,,X,,,,,X,,,,,,X,,,,,,X,,,You may look at the bonus card you drew before doing the second part of these actions.,224,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Song Sparrow,Melospiza melodia,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,0,Bowl,5,20,X,X,X,1,1,,1,,,,X,,1,,,,,X,X,,X,,,,,,,,,,X,,,,X,,X,,,,,X,"These birds are all able to live in a variety of habitats, and their power is to move from habitat to habitat—but only if they’re the last bird in that row. (They can be in any column.) This can be powerful for increasing your abilities in multiple habitats, and for scoring on end-of-round goals. Be careful not to play another bird to the right of one of these cards, or you won’t be able to use its power!",225,,,,,"When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.",https://www.stonemaiergames.com/games/wingspan/rules/,,,,,,,,,,,,,,,,
South Island Robin,Petroica australis,oceania,Brown,Food-related,"If the player to your right has an [invertebrate] in their supply, cache 1 [invertebrate] from the general supply on this bird.",,,,1,Bowl,5,24,X,X,,1,,,,,,,,,1,,X,,,X,X,,,,,,,X,,,,,X,,,,,,X,,,,,X,,341,,,,,,,,,,,,,,,,,,,,,,
Southern Cassowary,Casuarius casuarius,oceania,White,Other,"Discard a bird from your [forest] and put this bird in its place (do not pay an egg cost). If you do, lay 4 [egg] on this bird and gain 2 [fruit] from the supply.",,,,4,Ground,4,*,X,,,,,,2,,,1,,,3,,X,,,,,,,X,X,,,,X,X,,X,,,,,X,,,,,,X,,"You must pay the food cost of the cassowary, but not the egg cost. You may play the cassowary in an empty space, but then you must pay its egg cost and you do not lay eggs or gain fruit.",342,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"When using this bird's power to discard another bird from your mat, all food cached on that bird, [egg] laid on that bird, and [card] tucked under that bird are discarded.",https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Spangled Drongo,Dicrurus bracteatus,oceania,Pink,Egg-laying,"When another player gains [nectar], gain 1 [nectar] from the supply.",,,,1,Bowl,2,27,X,,,1,,,,,1,1,,,3,,,,,X,,,,X,,,,,X,,,X,X,,,,,,X,,X,,,X,,343,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
Splendid Fairywren,Malurus splendens,oceania,Yellow,Food-related,"Lay 1 [egg] on each of your birds with a wingspan less than 30cm, including this one.",,,,1,Wild,5,15,X,X,,2,,,,,,,,,2,,,,,X,X,,,,X,,,X,,,X,,X,X,,,,,X,,,,,X,"Flightless birds count as wild for wingspan requirements, so eggs may be laid on them for each of these bird abilities, even though they are contradictory.<br><br>Eggs are laid after scoring the round-end goal for Round 4.",344,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Spoon-Billed Sandpiper,Calidris pygmaea,asia,White,,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.",,,X,5,Ground,2,35,,,X,1,1,,,,,,,,2,X,,,,,,,X,,X,,,,,,,,,,,,,X,,,X,X,,,"Any player may discard 2 resources of the same type (e.g., 2 [wild]) or of 2 different types (e.g., 1 [wild] and 1 [egg]) to draw bonus cards. Discarded [wild] are discarded from your personal supply, and discarded [card] are discarded from your hand. <br>Draw 2 bonus cards, pick the one you want to keep and discard the other. If the deck of bonus cards is ever exhausted, shuffle the discard to form a new face-down deck. <br><b>Oceania Expansion:</b> If a player discards [nectar] to pay to draw bonus cards, that nectar is placed on the “spent nectar” spot in their [wetland].",432,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
